zip_code,latitude,longitude
00501,40.81540,-73.04510
00544,40.81540,-73.04510
01001,42.07020,-72.62270
01002,42.36710,-72.46460
01003,42.39190,-72.52480
01004,42.38450,-72.51320
01005,42.40970,-72.10840
01007,42.27510,-72.41100
01008,42.18290,-72.93610
01009,42.20610,-72.34050
01010,42.11650,-72.18850
01011,42.27940,-72.98880
01012,42.39230,-72.82560
01013,42.14870,-72.60790
01014,42.17070,-72.60480
01020,42.17640,-72.57610
01021,42.17070,-72.60480
01022,42.19340,-72.55440
01026,42.46330,-72.92020
01027,42.26680,-72.66900
01028,42.06720,-72.50560
01029,42.19090,-73.05170
01030,42.07180,-72.67510
01031,42.33220,-72.19860
01032,42.44040,-72.79950
01033,42.25570,-72.52000
01034,42.11270,-72.95200
01035,42.36060,-72.57150
01036,42.06480,-72.43180
01037,42.34790,-72.22530
01038,42.38440,-72.61670
01039,42.38180,-72.70320
01040,42.20200,-72.62620
01041,42.20430,-72.61620
01050,42.26530,-72.87330
01053,42.35430,-72.70340
01054,42.46820,-72.49930
01056,42.17280,-72.47100
01057,42.10100,-72.31960
01059,42.41040,-72.53090
01060,42.32230,-72.63130
01061,42.36960,-72.63600
01062,42.32190,-72.69280
01063,42.31790,-72.64020
01066,42.41120,-72.62230
01068,42.34800,-72.05130
01069,42.17620,-72.32880
01070,42.51440,-72.91830
01071,42.14710,-72.84030
01072,42.48200,-72.42130
01073,42.22470,-72.71940
01074,42.38540,-72.09540
01075,42.23750,-72.58110
01077,42.05110,-72.77060
01079,42.19290,-72.32960
01080,42.18190,-72.36240
01081,42.06270,-72.20460
01082,42.26180,-72.25830
01083,42.20400,-72.19940
01084,42.39030,-72.87090
01085,42.12510,-72.74950
01086,42.17340,-72.84800
01088,42.39060,-72.64690
01089,42.11510,-72.64110
01090,42.17070,-72.60480
01092,42.20290,-72.22900
01093,42.44270,-72.65250
01094,42.35820,-72.14080
01095,42.12450,-72.44640
01096,42.40850,-72.77800
01097,42.16400,-72.82950
01098,42.38430,-72.93140
01101,42.10150,-72.58980
01102,42.17070,-72.60480
01103,42.10290,-72.58870
01104,42.12880,-72.57780
01105,42.09990,-72.57830
01106,42.05070,-72.56760
01107,42.11790,-72.60650
01108,42.08530,-72.55840
01109,42.11450,-72.55430
01111,42.17070,-72.60480
01115,42.10290,-72.59160
01116,42.17070,-72.60480
